                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77436,                0.48495,                 1.0416,                0.85988,                0.78966,                0.86081,                0.63761,                 1.0023,                0.67027,                 1.2177,              0.0004085,              0.0004085,              0.0004085
                     36,                0.76154,                0.47521,                 1.0342,                0.84781,                0.80888,                0.86176,                0.64447,                 0.9978,                0.66597,                 1.2184,             0.00038375,             0.00038375,             0.00038375
                     37,                0.75643,                0.47281,                 1.0321,                0.86102,                 0.7845,                0.86134,                0.63546,                 1.0151,                0.67902,                 1.2278,               0.000359,               0.000359,               0.000359
                     38,                0.74027,                0.46185,                 1.0239,                0.85145,                0.79607,                0.86252,                0.64054,                 1.0039,                0.67309,                 1.2253,             0.00033425,             0.00033425,             0.00033425
                     39,                0.73625,                0.45175,                  1.023,                0.87222,                 0.7922,                0.86579,                0.64337,                  1.005,                0.67403,                 1.2232,              0.0003095,              0.0003095,              0.0003095
                     40,                0.74592,                0.46089,                 1.0232,                0.86592,                0.79973,                0.86436,                0.64128,                 1.0014,                0.67225,                 1.2206,             0.00028475,             0.00028475,             0.00028475
                     41,                0.69527,                0.37479,                0.98383,                0.86842,                0.78559,                0.85815,                0.63876,                  1.002,                0.67894,                 1.2226,                0.00026,                0.00026,                0.00026
                     42,                0.67927,                0.36342,                 0.9766,                0.85658,                 0.8034,                0.86134,                0.64212,                 1.0023,                0.67207,                 1.2305,             0.00023525,             0.00023525,             0.00023525
                     43,                0.66965,                 0.3501,                0.97063,                0.85695,                0.80763,                 0.8619,                0.64292,                 0.9996,                0.68295,                 1.2271,              0.0002105,              0.0002105,              0.0002105
                     44,                 0.6546,                0.34091,                0.96576,                0.85522,                 0.7985,                0.85981,                0.64114,                 1.0028,                0.69099,                 1.2287,             0.00018575,             0.00018575,             0.00018575
                     45,                0.64882,                0.33992,                0.96151,                0.85401,                 0.8093,                0.86311,                0.64301,                 1.0021,                0.67687,                 1.2263,               0.000161,               0.000161,               0.000161
                     46,                0.64099,                0.33261,                0.95441,                0.86523,                 0.8003,                0.86186,                0.64384,                 1.0014,                0.68802,                  1.226,             0.00013625,             0.00013625,             0.00013625
                     47,                0.63448,                0.32907,                0.95304,                0.84563,                0.80981,                0.86041,                0.64421,                 1.0052,                0.68942,                 1.2283,              0.0001115,              0.0001115,              0.0001115
                     48,                0.62044,                 0.3183,                0.94747,                0.85898,                0.80945,                0.86195,                0.64694,                0.99862,                0.68113,                 1.2303,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.61784,                0.31673,                0.94811,                0.84443,                0.81196,                0.86055,                0.64417,                0.99921,                0.68591,                  1.231,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.61248,                0.31333,                0.94357,                0.86581,                0.79282,                0.86047,                0.64336,                0.99961,                0.68646,                 1.2311,              3.725e-05,              3.725e-05,              3.725e-05
